Date,Close,Volume
2015-01-02,38.0061,6906098
2015-01-05,37.2781,11623796
2015-01-06,36.9748,7664340
2015-01-07,37.8848,9732554
2015-01-08,38.4961,13170548
2015-01-09,37.2361,27556706
2015-01-12,37.4415,10021486
2015-01-13,37.7401,11040702
2015-01-14,37.5301,9295084
2015-01-15,37.1381,8126602
2015-01-16,37.6188,9015502
2015-01-20,37.9058,10738304
2015-01-21,37.9361,10844182
2015-01-22,38.6128,23913056
2015-01-23,41.1702,38107194
2015-01-26,41.1235,14098574
2015-01-27,41.2262,10995808
2015-01-28,40.8645,11963202
2015-01-29,41.5575,12475860
2015-01-30,40.8482,10070456
2015-02-02,41.0629,13638832
2015-02-03,41.4469,9252426
2015-02-04,41.5453,11496698
2015-02-05,41.9856,7598672
2015-02-06,41.6858,7835332
2015-02-09,41.6015,6911614
2015-02-10,42.7069,12469500
2015-02-11,42.5242,6466910
2015-02-12,43.009,7197558
2015-02-13,42.8942,6109522
2015-02-17,43.105,6386900
2015-02-18,43.5593,6541986
2015-02-19,43.639,6109176
2015-02-20,43.7982,6462662
2015-02-23,43.831,5854572
2015-02-24,43.7701,6337888
2015-02-25,44.1495,8120660
2015-02-26,44.2853,6816352
2015-02-27,43.7865,8658404
2015-03-02,44.1331,7947018
2015-03-03,44.0277,7578374
2015-03-04,43.5874,7774534
2015-03-05,43.8544,5848750
2015-03-06,43.1917,6814414
2015-03-09,43.5781,5984880
2015-03-10,43.1753,6076984
2015-03-11,42.8193,8185894
2015-03-12,43.7373,7295344
2015-03-13,43.6952,5835252
2015-03-16,44.0488,6772606
2015-03-17,44.208,5508796
2015-03-18,44.8895,15429928
2015-03-19,45.7888,22020618
2015-03-20,45.6483,17360612
2015-03-23,45.6062,7985986
2015-03-24,45.8614,7718488
2015-03-25,44.8567,9907170
2015-03-26,44.5336,10344304
2015-03-27,44.5289,7993350
2015-03-30,44.9551,6830270
2015-03-31,44.3556,8717754
2015-04-01,43.5687,14125350
2015-04-02,44.2104,8863018
2015-04-06,44.2713,6058894
2015-04-07,44.0605,5354670
2015-04-08,44.6038,6827888
2015-04-09,44.927,7109621
2015-04-10,45.1237,6643106
2015-04-13,45.4329,8171030
2015-04-14,45.2455,5952424
2015-04-15,45.0956,5162169
2015-04-16,45.194,5312499
2015-04-17,44.6085,7539865
2015-04-20,44.9364,4868425
2015-04-21,45.3111,6213360
2015-04-22,45.2783,7248119
2015-04-23,46.304,15866051
2015-04-24,48.5616,22284881
2015-04-27,47.653,11222608
2015-04-28,47.4094,8882901
2015-04-29,47.4469,7161992
2015-04-30,46.4446,8492048
2015-05-01,47.1097,5916509
2015-05-04,47.2549,7493420
2015-05-05,46.4279,10691207
2015-05-06,45.9815,8033489
2015-05-07,46.3762,5681417
2015-05-08,46.7803,6039840
2015-05-11,46.5172,5047180
2015-05-12,46.7145,5868552
2015-05-13,46.6017,4927094
2015-05-14,47.5086,7339742
2015-05-15,47.7388,6016694
2015-05-18,48.0959,8999761
2015-05-19,48.3215,6976052
2015-05-20,47.955,5644662
2015-05-21,48.2369,5084042
2015-05-22,48.3779,5857672
2015-05-26,47.7764,7369923
2015-05-27,48.4812,6213573
2015-05-28,48.688,5874382
2015-05-29,48.8289,9399112
2015-06-01,49.0733,7075082
2015-06-02,48.6128,7877799
2015-06-03,48.9793,5522702
2015-06-04,48.6034,6230805
2015-06-05,49.0451,7123248
2015-06-08,48.4248,6320181
2015-06-09,48.4342,5034038
2015-06-10,49.5149,8003611
2015-06-11,49.327,6030167
2015-06-12,49.4586,5236747
2015-06-15,49.1203,5554964
2015-06-16,49.7734,6106529
2015-06-17,50.0318,6735294
2015-06-18,50.8494,10712142
2015-06-19,50.6802,10609714
2015-06-22,50.652,7100665
2015-06-23,50.8541,5679984
2015-06-24,50.4735,5524969
2015-06-25,50.8118,5389863
2015-06-26,51.3286,6637183
