car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
1,3,alfa-romero giulia,gas,std,two,convertible,88.6,168.8,64.1,48.8,2548,four,130,3.47,2.68,9.0,111,5000,21,27,13495.0
2,3,alfa-romero stelvio,gas,std,two,convertible,88.6,168.8,64.1,48.8,2548,four,130,3.47,2.68,9.0,111,5000,21,27,16500.0
3,1,alfa-romero Quadrifoglio,gas,std,two,hatchback,94.5,171.2,65.5,52.4,2823,six,152,2.68,3.47,9.0,154,5000,19,26,16500.0
4,2,audi 100 ls,gas,std,four,sedan,99.8,176.6,66.2,54.3,2337,four,109,3.19,3.4,10.0,102,5500,24,30,13950.0
5,2,audi 100ls,gas,std,four,sedan,99.4,176.6,66.4,54.3,2824,five,136,3.19,3.4,8.0,115,5500,18,22,17450.0
6,2,audi fox,gas,std,two,sedan,99.8,177.3,66.3,53.1,2507,five,136,3.19,3.4,8.5,110,5500,19,25,15250.0
7,1,audi 100ls,gas,std,four,sedan,105.8,192.7,71.4,55.7,2844,five,136,3.19,3.4,8.5,110,5500,19,25,17710.0
8,1,audi 5000,gas,std,four,wagon,105.8,192.7,71.4,55.7,2954,five,136,3.19,3.4,8.5,110,5500,19,25,18920.0
9,1,audi 4000,gas,turbo,four,sedan,105.8,192.7,71.4,55.9,3086,five,131,3.13,3.4,8.3,140,5500,17,20,23875.0
10,0,audi 5000s (diesel),gas,turbo,two,hatchback,99.5,178.2,67.9,52.0,3053,five,131,3.13,3.4,7.0,160,5500,16,22,17859.167
11,2,bmw 320i,gas,std,two,sedan,101.2,176.8,64.8,54.3,2395,four,108,3.5,2.8,8.8,101,5800,23,29,16430.0
12,0,bmw 320i,gas,std,four,sedan,101.2,176.8,64.8,54.3,2395,four,108,3.5,2.8,8.8,101,5800,23,29,16925.0
13,0,bmw x1,gas,std,two,sedan,101.2,176.8,64.8,54.3,2710,six,164,3.31,3.19,9.0,121,4250,21,28,20970.0
14,0,bmw x3,gas,std,four,sedan,101.2,176.8,64.8,54.3,2765,six,164,3.31,3.19,9.0,121,4250,21,28,21105.0
15,1,bmw z4,gas,std,four,sedan,103.5,189.0,66.9,55.7,3055,six,164,3.31,3.19,9.0,121,4250,20,25,24565.0
16,0,bmw x4,gas,std,four,sedan,103.5,189.0,66.9,55.7,3230,six,209,3.62,3.39,8.0,182,5400,16,22,30760.0
17,0,bmw x5,gas,std,two,sedan,103.5,193.8,67.9,53.7,3380,six,209,3.62,3.39,8.0,182,5400,16,22,41315.0
18,0,bmw x3,gas,std,four,sedan,110.0,197.0,70.9,56.3,3505,six,209,3.62,3.39,8.0,182,5400,15,20,36880.0
19,2,chevrolet impala,gas,std,two,hatchback,88.4,141.1,60.3,53.2,1488,three,61,2.91,3.03,9.5,48,5100,47,53,5151.0
20,1,chevrolet monte carlo,gas,std,two,hatchback,94.5,155.9,63.6,52.0,1874,four,90,3.03,3.11,9.6,70,5400,38,43,6295.0
21,0,chevrolet vega 2300,gas,std,four,sedan,94.5,158.8,63.6,52.0,1909,four,90,3.03,3.11,9.6,70,5400,38,43,6575.0
22,1,dodge rampage,gas,std,two,hatchback,93.7,157.3,63.8,50.8,1876,four,90,2.97,3.23,9.41,68,5500,37,41,5572.0
23,1,dodge challenger se,gas,std,two,hatchback,93.7,157.3,63.8,50.8,1876,four,90,2.97,3.23,9.4,68,5500,31,38,6377.0
24,1,dodge d200,gas,turbo,two,hatchback,93.7,157.3,63.8,50.8,2128,four,98,3.03,3.39,7.6,102,5500,24,30,7957.0
25,1,dodge monaco (sw),gas,std,four,hatchback,93.7,157.3,63.8,50.6,1967,four,90,2.97,3.23,9.4,68,5500,31,38,6229.0
26,1,dodge colt hardtop,gas,std,four,sedan,93.7,157.3,63.8,50.6,1989,four,90,2.97,3.23,9.4,68,5500,31,38,6692.0
27,1,dodge colt (sw),gas,std,four,sedan,93.7,157.3,63.8,50.6,1989,four,90,2.97,3.23,9.4,68,5500,31,38,7609.0
28,1,dodge coronet custom,gas,turbo,two,sedan,93.7,157.3,63.8,50.6,2191,four,98,3.03,3.39,7.6,102,5500,24,30,8558.0
29,-1,dodge dart custom,gas,std,four,wagon,103.3,174.6,64.6,59.8,2535,four,122,3.34,3.46,8.5,88,5000,24,30,8921.0
30,3,dodge coronet custom (sw),gas,turbo,two,hatchback,95.9,173.2,66.3,50.2,2811,four,156,3.6,3.9,7.0,145,5000,19,24,12964.0
31,2,honda civic,gas,std,two,hatchback,86.6,144.6,63.9,50.8,1713,four,92,2.91,3.41,9.6,58,4800,49,54,6479.0
32,2,honda civic cvcc,gas,std,two,hatchback,86.6,144.6,63.9,50.8,1819,four,92,2.91,3.41,9.2,76,6000,31,38,6855.0
