Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
F,1.4375,1.175,0.4125,24.6357155,12.3320325,5.5848515,6.747181,9
M,0.8875,0.65,0.2125,5.40057975,2.2963095,1.37495075,1.5592225,6
I,1.0375,0.775,0.25,7.95203475,3.231843,1.60174675,2.76407625,6
F,1.175,0.8875,0.25,13.48018725,4.74854125,2.28213475,5.2446575,10
I,0.8875,0.6625,0.2125,6.90310325,3.458639,1.48834875,1.70097,6
F,1.55,1.1625,0.35,28.6613445,13.5794105,6.76135575,7.2291225,8
F,1.3,1,0.325,17.70426275,6.0951425,5.85417175,4.819415,15
M,1.325,1.0125,0.375,23.57260925,9.979024,5.3013565,7.15824875,10
I,1.5875,1.25,0.4125,42.2124055,20.2698925,9.76640275,10.24834425,13
I,0.9125,0.6875,0.3375,6.80388,3.061746,1.26155275,2.08368825,7
M,0.825,0.5375,0.1875,3.24601775,1.2757275,0.75126175,0.9922325,6
F,1.3625,1.05,0.4375,21.375523,7.257472,5.03203625,7.7961125,10
M,0.8625,0.6375,0.225,5.68407475,2.664853,0.83631025,1.7860185,9
I,1.375,1.075,0.3625,20.184844,8.57572375,4.309124,6.3786375,10
I,1.225,0.95,0.3,14.9968855,6.13766675,3.9405805,4.3941725,11
F,1.6375,1.2875,0.5,42.354153,20.56756225,8.7599955,11.4815475,12
M,1.6,1.3125,0.45,37.23706825,13.79203175,8.49067525,11.55242125,10
I,1.0625,0.775,0.225,8.5331995,3.92640575,1.8427175,2.26796,7
M,1.475,1.1,0.375,27.08794725,10.375917,6.87475375,8.3631025,11
I,0.7625,0.575,0.1875,4.12485225,1.68679525,0.86465975,1.417475,6
M,1.1125,0.8,0.3,11.736693,5.6415505,2.551455,3.3168915,7
F,1.625,1.3125,0.475,39.2640575,25.16018125,8.77417025,11.4815475,11
I,0.925,0.6875,0.2375,7.2858215,2.87747425,1.5592225,2.33883375,6
I,0.575,0.4375,0.1625,1.82854275,0.737087,0.29766975,0.56699,5
F,1.2625,0.975,0.325,19.107563,8.97261675,3.9972795,5.06038575,9
M,1.2625,1,0.3875,23.85610425,7.69688925,5.03203625,8.0796075,12
M,1.3375,1.075,0.35,20.31241675,8.09378225,4.52174525,6.10931725,8
M,1.525,1.2125,0.4375,35.28095275,15.422128,8.4198015,9.7805775,12
F,1.575,1.2875,0.4,37.874932,15.6772735,9.08601475,9.922325,11
I,1.0875,0.8125,0.3,11.32562525,5.14543425,1.7293195,3.18931875,8
M,1.0625,0.875,0.2625,11.1413535,3.685435,1.7860185,4.6776675,9
I,1.25,0.95,0.3375,14.98271075,6.406987,3.4869885,5.9250455,8
I,1.2625,0.975,0.4625,17.36406875,7.5693165,4.025629,4.876114,7
F,1.4875,1.1875,0.425,35.3518265,13.60776,6.3786375,12.0485375,20
M,1.55,1.225,0.475,34.529691,15.46465225,8.40562675,10.0640725,13
M,1.4,1.0375,0.325,21.58814425,10.47514025,4.819415,5.54232725,8
I,1.1125,0.8625,0.2625,11.5949455,4.74854125,2.87747425,3.3168915,7
F,1.0125,0.775,0.3,8.77417025,3.912231,1.644271,2.6932025,13
I,0.75,0.575,0.2,3.61456125,1.23320325,0.75126175,1.13398,8
I,1.05,0.825,0.25,9.979024,4.63514325,2.5231055,2.83495,9
