squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price,category
75523,3,0,1,63,9373,3,8,2005,0,1,4313,9005,956,0,7,7559081.5,Basic
80771,39,1,1,98,39381,8,6,2015,1,0,3653,2436,128,1,2,8085989.5,Luxury
55712,58,0,1,19,34457,6,8,2021,0,0,2937,8852,135,1,9,5574642.1,Basic
32316,47,0,0,6,27939,10,4,2012,0,1,659,7141,359,0,3,3232561.2,Luxury
70429,19,1,1,90,38045,3,7,1990,1,0,8435,2429,292,1,4,7055052,Luxury
39223,36,0,1,17,39489,8,6,2012,0,1,2009,4552,757,0,1,3926647.2,Basic
58682,10,1,1,99,6450,10,9,1995,1,1,5930,9453,848,0,5,5876376.5,Luxury
86929,100,1,0,11,98155,3,4,2003,1,0,6326,4748,654,0,10,8696869.3,Luxury
51522,3,0,0,61,9047,8,3,2012,1,1,632,5792,807,1,5,5154055.2,Basic
39686,42,0,0,15,71019,5,8,2021,1,1,5198,5342,591,1,3,3970892.1,Basic
23563,21,0,1,90,91058,6,8,1993,1,0,703,852,684,1,10,2366397.3,Basic
96470,74,1,0,21,92029,4,2,2011,1,1,5414,1172,716,1,9,9652258.1,Luxury
19127,31,1,0,5,7475,2,9,2008,0,0,5387,4430,374,0,4,1914688.8,Basic
13087,44,1,0,77,40475,8,4,2004,1,0,1745,724,582,0,0,1320803.4,Luxury
79770,3,0,1,69,54812,10,5,2018,0,1,8871,7117,240,0,7,7986665.8,Basic
75985,60,1,0,67,6517,6,9,2009,1,1,4878,281,384,1,5,7607322.9,Luxury
64169,88,0,1,6,61711,3,9,2011,1,1,3054,129,726,0,9,6420823.1,Basic
99371,31,1,1,16,96297,7,8,2013,1,1,3258,6296,354,1,8,9944705.3,Luxury
25966,37,1,1,17,22818,3,1,2016,0,0,8257,2557,162,0,6,2604486.6,Basic
41792,43,1,1,10,80768,9,5,2017,1,1,2950,9573,572,1,5,4187667.7,Luxury
28795,64,1,1,50,97667,3,4,2009,1,1,9862,2666,330,1,0,2888047.9,Luxury
92383,12,0,0,78,71982,3,7,2000,0,0,7507,9056,892,1,1,9244344,Basic
33279,64,1,0,65,91690,3,2,2019,1,1,2427,717,732,0,1,3333351.9,Luxury
34782,47,0,0,73,35331,1,4,2020,0,1,9586,6604,822,0,2,3482594,Basic
13386,51,0,0,90,87978,4,6,1993,0,0,2885,1149,904,1,4,1342509.3,Basic
20883,56,0,0,54,85377,5,9,2018,0,0,9982,8142,670,1,10,2091505.8,Basic
95121,46,0,1,3,9382,7,9,1994,0,0,615,1221,328,0,10,9515440.4,Basic
6071,72,1,0,14,8410,2,6,2003,1,1,3306,3635,295,0,2,612471.3,Luxury
11844,43,0,0,55,46144,6,5,1993,1,0,5292,8233,395,0,10,1189939.3,Basic
52078,7,1,1,73,20372,10,4,2016,1,1,1864,2049,558,0,5,5217708.6,Luxury
25897,98,1,0,92,20344,2,4,1993,0,1,9799,9569,116,1,10,2598763.3,Basic
85443,40,1,1,54,339,3,1,2021,1,0,3056,8928,292,1,2,8555234.1,Luxury
11412,78,0,0,79,73807,1,5,2009,1,1,6899,8997,695,0,0,1145642.9,Basic
97550,89,1,1,98,78155,2,5,2014,1,0,5391,897,388,0,0,9765099.4,Luxury
76485,47,1,0,9,90254,2,9,2008,1,0,2860,3129,982,0,1,7653300.8,Luxury
26169,29,0,0,62,66489,9,7,1993,0,1,7918,187,919,1,9,2622399.3,Basic
24239,87,1,0,91,73056,4,7,1998,0,0,6656,7149,698,0,3,2427801.8,Basic
36239,8,0,1,24,66771,7,6,1990,0,1,6679,6528,798,1,5,3627708,Basic
10500,88,0,1,49,10533,10,1,2013,1,1,4170,5501,422,0,5,1057021.3,Luxury
87060,27,0,1,91,51803,8,10,2000,0,0,6629,435,512,0,7,8711426,Basic
66683,19,1,1,6,50801,6,2,2001,0,0,7473,796,237,1,3,6677649.1,Basic
66569,59,1,1,56,15574,7,9,2016,1,1,2020,7188,269,1,10,6667802.6,Luxury
84559,29,0,1,69,53057,7,7,2000,1,0,3573,9556,918,1,8,8460604,Basic
28749,39,0,1,53,80821,6,5,1996,1,0,8113,2352,982,1,3,2877997.6,Basic
76091,38,1,0,32,59451,5,8,2016,1,0,8150,6037,930,0,7,7614076.6,Luxury
92696,49,1,0,38,74381,9,2,2021,0,0,1559,5111,957,1,2,9272740.1,Basic
46988,66,1,1,27,4863,9,10,1991,1,1,8339,6331,874,1,4,4707341.1,Luxury
48062,22,0,1,4,28104,1,10,2008,1,0,7908,552,817,1,1,4809993.8,Basic
5767,97,1,1,11,44551,7,3,1998,1,0,2516,5601,307,1,4,586742.8,Luxury
59800,47,0,1,27,44815,6,9,2021,0,0,5075,3104,864,0,4,5984462.1,Basic
54836,25,0,1,53,64601,10,5,2020,1,0,5278,1059,313,1,6,5492532,Basic
54318,10,1,1,52,76737,4,2,1998,1,1,9580,3787,227,1,1,5444967.8,Luxury
70021,52,1,0,28,95678,4,6,1992,0,1,4480,6919,680,1,1,7005572.2,Basic
54368,11,1,1,20,55761,3,7,2021,0,0,231,1939,223,0,8,5446398.1,Basic
31421,29,0,1,68,67505,5,3,1999,1,1,8949,2080,630,0,5,3147829.9,Basic
63053,6,1,1,28,45312,3,1,1997,0,1,8414,6270,939,1,8,6315375.7,Basic
4187,89,0,1,17,7488,1,6,1994,1,0,186,2627,559,1,2,421906.4,Luxury
33108,82,0,1,83,52015,6,10,2016,1,0,6250,8751,552,1,2,3316069.6,Basic
64393,8,0,0,51,95335,4,1,1990,1,0,3835,2403,559,0,6,6441378,Basic
93876,60,0,1,70,5484,2,1,1999,1,1,4086,5991,494,1,8,9390891.9,Basic
