record_id,month,day,year,AverageTemperatureFahr,AverageTemperatureUncertaintyFahr,City,country_id,Country,Latitude,Longitude
3779550,04,01,1854,42.0674,33.1142,Kherson,UKR,Ukraine,47.42N,31.97E
3779551,05,01,1854,62.654,33.2888,Kherson,UKR,Ukraine,47.42N,31.97E
3779552,06,01,1854,65.8166,35.096,Kherson,UKR,Ukraine,47.42N,31.97E
3779553,07,01,1854,72.8366,34.0376,Kherson,UKR,Ukraine,47.42N,31.97E
3779554,08,01,1854,69.1466,34.295,Kherson,UKR,Ukraine,47.42N,31.97E
3779555,09,01,1854,56.8382,33.8468,Kherson,UKR,Ukraine,47.42N,31.97E
3779556,10,01,1854,50.9666,34.439,Kherson,UKR,Ukraine,47.42N,31.97E
3779557,11,01,1854,39.0164,34.8602,Kherson,UKR,Ukraine,47.42N,31.97E
3779558,12,01,1854,34.8422,37.1372,Kherson,UKR,Ukraine,47.42N,31.97E
3779559,01,01,1855,21.2432,35.8088,Kherson,UKR,Ukraine,47.42N,31.97E
3779560,02,01,1855,24.7982,34.9682,Kherson,UKR,Ukraine,47.42N,31.97E
3779561,03,01,1855,38.8886,33.6164,Kherson,UKR,Ukraine,47.42N,31.97E
3779562,04,01,1855,48.695,34.8098,Kherson,UKR,Ukraine,47.42N,31.97E
474381,06,01,1853,51.9062,36.9572,Auckland,NEW,New Zealand,36.17S,175.03E
474382,07,01,1853,52.3886,34.5488,Auckland,NEW,New Zealand,36.17S,175.03E
474383,08,01,1853,52.853,33.5498,Auckland,NEW,New Zealand,36.17S,175.03E
474384,09,01,1853,52.5776,33.638,Auckland,NEW,New Zealand,36.17S,175.03E
474385,10,01,1853,54.8726,33.9836,Auckland,NEW,New Zealand,36.17S,175.03E
474386,11,01,1853,56.6888,34.2518,Auckland,NEW,New Zealand,36.17S,175.03E
474387,12,01,1853,59.846,37.5062,Auckland,NEW,New Zealand,36.17S,175.03E
474388,01,01,1854,64.5908,36.23,Auckland,NEW,New Zealand,36.17S,175.03E
474389,02,01,1854,65.372,35.6576,Auckland,NEW,New Zealand,36.17S,175.03E
474390,03,01,1854,64.9688,35.3966,Auckland,NEW,New Zealand,36.17S,175.03E
474391,04,01,1854,59.927,35.2022,Auckland,NEW,New Zealand,36.17S,175.03E
474392,05,01,1854,57.5042,34.511,Auckland,NEW,New Zealand,36.17S,175.03E
474393,06,01,1854,54.518,34.7972,Auckland,NEW,New Zealand,36.17S,175.03E
474394,07,01,1854,53.1914,35.024,Auckland,NEW,New Zealand,36.17S,175.03E
