_estacaoId,_nome,_ordem,_linhaId,_linha,_tipoId,_tipo
152,Ana Rosa,01,1,1-Azul,1,Metrô
14,Armênia,01,1,1-Azul,1,Metrô
12,Carandiru,01,1,1-Azul,1,Metrô
29,Conceição,01,1,1-Azul,1,Metrô
30,Jabaquara,01,1,1-Azul,1,Metrô
19,Japão-Liberdade,01,1,1-Azul,1,Metrô
10,Jardim São Paulo-Ayrton Senna,01,1,1-Azul,1,Metrô
171,Luz,01,1,1-Azul,1,Metrô
9,Parada Inglesa,01,1,1-Azul,1,Metrô
174,Paraíso,01,1,1-Azul,1,Metrô
13,Portuguesa-Tietê,01,1,1-Azul,1,Metrô
26,Praça da Árvore,01,1,1-Azul,1,Metrô
25,SantaCruz,01,1,1-Azul,1,Metrô
11,Santana,01,1,1-Azul,1,Metrô
17,São Bento,01,1,1-Azul,1,Metrô
20,São Joaquim,01,1,1-Azul,1,Metrô
28,São Judas,01,1,1-Azul,1,Metrô
27,Saúde,01,1,1-Azul,1,Metrô
186,Sé,01,1,1-Azul,1,Metrô
15,Tiradentes,01,1,1-Azul,1,Metrô
8,Tucuruvi,01,1,1-Azul,1,Metrô
21,Vergueiro,01,1,1-Azul,1,Metrô
24,Vila Mariana,01,1,1-Azul,1,Metrô
151,Alto do Ipiranga,02,2,2-Verde,1,Metrô
153,Ana Rosa,02,2,2-Verde,1,Metrô
48,Brigadeiro,02,2,2-Verde,1,Metrô
149,ChacaraKlabin,02,2,2-Verde,1,Metrô
51,Clínicas,02,2,2-Verde,1,Metrô
50,Consolação,02,2,2-Verde,1,Metrô
175,Paraíso,02,2,2-Verde,1,Metrô
52,S. N. Sra. De Fátima-Sumaré,02,2,2-Verde,1,Metrô
200,Sacomã,02,2,2-Verde,1,Metrô
150,Santos-Imigrantes,02,2,2-Verde,1,Metrô
201,Tamanduateí,02,2,2-Verde,1,Metrô
49,Trianon-Masp,02,2,2-Verde,1,Metrô
188,Vila Madalena,02,2,2-Verde,1,Metrô
202,Vila Prudente,02,2,2-Verde,1,Metrô
35,Anhangabaú,03,3,3-Vermelha,1,Metrô
46,Artur Alvim,03,3,3-Vermelha,1,Metrô
39,Belém,03,3,3-Vermelha,1,Metrô
157,Brás,03,3,3-Vermelha,1,Metrô
38,Bresser-Mooca,03,3,3-Vermelha,1,Metrô
41,Carrão,03,3,3-Vermelha,1,Metrô
165,Corinthians-Itaquera,03,3,3-Vermelha,1,Metrô
44,Guilhermina-Esperança,03,3,3-Vermelha,1,Metrô
32,Marechal Deodoro,03,3,3-Vermelha,1,Metrô
156,Palmeiras-Barra Funda,03,3,3-Vermelha,1,Metrô
45,Patriarca,03,3,3-Vermelha,1,Metrô
36,Pedro II,03,3,3-Vermelha,1,Metrô
42,Penha,03,3,3-Vermelha,1,Metrô
338,República,03,3,3-Vermelha,1,Metrô
33,Santa Cecília,03,3,3-Vermelha,1,Metrô
