num_lin,nome_lin,long,lat,estacao_upp,link
0,4,AMARELA,-46723768,-23586440,SAO PAULO MORUMBI,BUTANTA
1,4,AMARELA,-46708157,-23571857,BUTANTA,PINHEIROS
2,4,AMARELA,-46701610,-23567392,PINHEIROS,FARIA LIMA
3,4,AMARELA,-46694102,-23567269,FARIA LIMA,FRADIQUE COUTINHO
4,4,AMARELA,-46684259,-23566228,FRADIQUE COUTINHO,OSCAR FREIRE
5,4,AMARELA,-46671921,-23560521,OSCAR FREIRE,PAULISTA
6,4,AMARELA,-46662161,-23555044,PAULISTA,HIGIENOPOLIS MACKENZIE
7,4,AMARELA,-46652165,-23548935,HIGIENOPOLIS MACKENZIE,REPUBLICA
8,4,AMARELA,-46642737,-23544291,REPUBLICA,LUZ
9,4,AMARELA,-46634499,-23536259,LUZ,LUZ
0,1,AZUL,-46641126,-23646261,JABAQUARA,CONCEICAO
1,1,AZUL,-46641254,-23635338,CONCEICAO,SAO JUDAS
2,1,AZUL,-46640741,-23625510,SAO JUDAS,SAUDE
3,1,AZUL,-46639122,-23618374,SAUDE,PRACA DA ARVORE
4,1,AZUL,-46637813,-23610580,PRACA DA ARVORE,SANTA CRUZ
5,1,AZUL,-46636578,-23598940,SANTA CRUZ,VILA MARIANA
6,1,AZUL,-46634596,-23589257,VILA MARIANA,ANA ROSA
7,1,AZUL,-46638385,-23581184,ANA ROSA,PARAISO
8,1,AZUL,-46640767,-23575799,PARAISO,VERGUEIRO
9,1,AZUL,-46639822,-23569131,VERGUEIRO,SAO JOAQUIM
10,1,AZUL,-46638685,-23561838,SAO JOAQUIM,JAPAO LIBERDADE
11,1,AZUL,-46635823,-23555142,JAPAO LIBERDADE,SE
12,1,AZUL,-46632885,-23550201,SE,SAO BENTO
13,1,AZUL,-46633992,-23544273,SAO BENTO,LUZ
14,1,AZUL,-46633669,-23536894,LUZ,TIRADENTES
15,1,AZUL,-46632104,-23530975,TIRADENTES,ARMENIA
16,1,AZUL,-46629280,-23525494,ARMENIA,PORTUGUESA TIETE
17,1,AZUL,-46625132,-23516258,PORTUGUESA TIETE,CARANDIRU
18,1,AZUL,-46624956,-23509538,CARANDIRU,SANTANA
19,1,AZUL,-46624737,-23502629,SANTANA,JARDIM SAO PAULO AYRTON SENNA
20,1,AZUL,-46617052,-23492458,JARDIM SAO PAULO AYRTON SENNA,PARADA INGLESA
21,1,AZUL,-46608803,-23487014,PARADA INGLESA,TUCURUVI
22,1,AZUL,-46603212,-23480140,TUCURUVI,TUCURUVI
0,11,CORAL,-46635285,-23535083,LUZ,BRAS
1,11,CORAL,-46616498,-23545184,BRAS,TATUAPE
2,11,CORAL,-46576464,-23540140,TATUAPE,CORINTHIANS ITAQUERA
3,11,CORAL,-46471179,-23542091,CORINTHIANS ITAQUERA,DOM BOSCO
4,11,CORAL,-46448177,-23541848,DOM BOSCO,JOSE BONIFACIO
5,11,CORAL,-46431519,-23539045,JOSE BONIFACIO,GUAIANASES
6,11,CORAL,-46415503,-23542338,GUAIANASES,ANTONIO GIANETTI NETO
7,11,CORAL,-46383900,-23554443,ANTONIO GIANETTI NETO,FERRAZ DE VASCONCELOS
8,11,CORAL,-46368735,-23541083,FERRAZ DE VASCONCELOS,POA
9,11,CORAL,-46343607,-23525403,POA,CALMON VIANA
10,11,CORAL,-46307898,-23534095,CALMON VIANA,SUZANO
11,11,CORAL,-46332969,-23525454,SUZANO,JUNDIAPEBA
12,11,CORAL,-46258015,-23542710,JUNDIAPEBA,BRAS CUBAS
13,11,CORAL,-46231004,-23538037,BRAS CUBAS,MOGI DAS CRUZES
14,11,CORAL,-46198203,-23521655,MOGI DAS CRUZES,ESTUDANTES
15,11,CORAL,-46184967,-23515735,ESTUDANTES,ESTUDANTES
0,8,DIAMANTE,-46983711,-23530541,AMADOR BUENO,SANTA RITA
1,8,DIAMANTE,-46947511,-23544952,SANTA RITA,ITAPEVI
2,8,DIAMANTE,-46935055,-23545425,ITAPEVI,ENGENHEIRO CARDOSO
3,8,DIAMANTE,-46928631,-23535129,ENGENHEIRO CARDOSO,SAGRADO CORACAO
4,8,DIAMANTE,-46916665,-23529152,SAGRADO CORACAO,JANDIRA
5,8,DIAMANTE,-46902369,-23527753,JANDIRA,JARDIM SILVEIRA
6,8,DIAMANTE,-46893580,-23523696,JARDIM SILVEIRA,JARDIM BELVAL
