date,confirmed,deaths
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,1,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,1,0
2020-03-05,3,0
2020-03-06,4,0
2020-03-07,3,0
2020-03-08,3,0
2020-03-09,0,0
2020-03-10,3,0
2020-03-11,11,0
2020-03-12,16,0
2020-03-14,19,0
2020-03-16,87,0
2020-03-17,12,1
2020-03-18,76,2
2020-03-19,46,2
2020-03-20,110,4
2020-03-21,0,6
2020-03-22,235,7
2020-03-23,114,8
2020-03-24,65,10
2020-03-25,52,8
2020-03-26,190,10
2020-03-27,171,10
2020-03-28,183,16
2020-03-29,45,14
2020-03-30,66,15
2020-03-31,822,23
2020-04-01,642,28
2020-04-02,525,24
2020-04-03,542,31
2020-04-04,418,41
2020-04-05,154,15
2020-04-06,246,29
2020-04-07,816,67
2020-04-08,1026,57
2020-04-09,772,68
2020-04-10,736,44
2020-04-11,203,20
2020-04-12,336,28
2020-04-13,140,20
2020-04-14,476,87
2020-04-15,1672,83
2020-04-16,525,75
2020-04-17,1273,75
2020-04-18,1053,63
2020-04-19,373,24
2020-04-20,313,22
2020-04-21,805,56
2020-04-22,529,41
2020-04-23,826,211
2020-04-24,1086,167
2020-04-25,2178,155
2020-04-26,711,33
2020-04-27,981,125
2020-04-28,2345,224
2020-04-29,2117,198
2020-04-30,2540,128
2020-05-01,1676,136
2020-05-02,800,75
2020-05-03,598,41
2020-05-04,415,27
2020-05-05,1866,197
2020-05-06,3800,194
2020-05-07,2075,161
2020-05-08,1902,210
2020-05-09,2581,192
2020-05-10,1033,101
2020-05-11,687,34
2020-05-12,1588,206
2020-05-13,3378,169
2020-05-14,3189,197
2020-05-15,4092,186
2020-05-16,2805,187
2020-05-17,1162,94
2020-05-18,721,41
2020-05-19,2929,324
2020-05-20,3864,216
2020-05-21,3880,195
2020-05-22,3132,215
2020-05-23,3687,272
2020-05-24,1603,118
2020-05-25,1464,57
2020-05-26,2392,203
2020-05-27,3466,289
2020-05-28,6382,268
2020-05-29,5691,295
2020-05-30,5586,257
2020-05-31,2556,83
2020-06-01,1598,52
2020-06-02,6999,327
2020-06-03,5188,282
2020-06-04,5717,285
2020-06-05,5365,281
2020-06-06,5984,216
2020-06-07,2524,87
2020-06-08,1520,43
2020-06-09,5545,334
2020-06-10,6178,340
2020-06-11,6204,283
2020-06-12,5380,223
2020-06-13,4975,213
2020-06-14,5327,113
2020-06-15,3258,73
2020-06-16,8825,365
2020-06-17,1232,389
2020-06-18,1111,325
2020-06-19,19030,386
2020-06-20,4135,262
2020-06-21,3392,94
2020-06-22,2788,46
2020-06-23,7502,434
2020-06-24,9347,284
2020-06-25,9765,407
2020-06-26,9921,207
2020-06-27,7073,297
2020-06-28,6156,75
2020-06-29,3408,60
2020-06-30,6235,365
2020-07-01,8555,267
2020-07-02,12244,321
2020-07-03,8338,343
2020-07-04,2013,302
2020-07-05,7649,82
2020-07-06,2891,56
2020-07-07,9638,341
2020-07-08,8657,313
2020-07-09,8350,330
2020-07-10,9395,324
2020-07-11,7780,260
2020-07-12,5107,146
2020-07-13,2610,59
2020-07-14,12000,417
2020-07-15,6569,316
2020-07-16,8872,398
2020-07-17,5367,339
2020-07-18,4612,270
2020-07-19,3022,85
2020-07-20,1385,56
2020-07-21,6235,383
2020-07-22,16777,361
2020-07-23,12561,362
2020-07-24,11211,312
2020-07-25,16263,311
2020-07-26,4501,89
2020-07-27,3672,70
