id_casa,LotFrontage,LotArea,Street,Condition1,Condition2,YearBuilt,ExterQual,FullBath,BedroomAbvGr,SalePrice,Color
707,48.0,6240,Pave,Norm,Norm,2006.0,Gd,2,,254000,
952,60.0,7200,Pave,Norm,Norm,1972.0,TA,1,2.0,133900,
503,100.0,15602,Pave,Norm,Norm,1959.0,TA,2,1.0,289000,
658,78.0,17503,Pave,Artery,Norm,1948.0,TA,1,3.0,97500,
770,,7252,Pave,Norm,Norm,1982.0,TA,1,2.0,134900,
258,80.0,12435,Pave,Norm,Norm,2001.0,Gd,2,3.0,231500,
323,49.0,5820,Pave,Norm,Norm,1955.0,TA,1,3.0,126175,
562,63.0,13907,Pave,Norm,Norm,1940.0,TA,1,3.0,108000,
782,67.0,16285,Pave,Norm,Norm,2001.0,Gd,2,3.0,187100,
1029,21.0,1680,Pave,Norm,Norm,1972.0,TA,1,,118000,
60,63.0,13072,Pave,RRAe,Norm,2004.0,TA,1,3.0,158000,
1317,47.0,4230,Pave,Norm,Norm,2006.0,Gd,2,2.0,208900,
954,35.0,9400,Pave,Norm,Norm,1975.0,TA,2,4.0,127500,
553,67.0,8777,Pave,Feedr,Norm,1949.0,TA,2,2.0,108000,
928,,11838,Pave,Norm,Norm,2001.0,Gd,2,3.0,236500,
1310,100.0,17500,,PosA,Norm,1959.0,Gd,2,3.0,335000,
384,,53107,Pave,Feedr,Norm,1992.0,Gd,2,3.0,240000,
693,60.0,5400,Pave,Norm,Norm,1921.0,TA,1,2.0,108480,
298,90.0,11700,Pave,Norm,Norm,1968.0,Gd,1,3.0,175000,
599,24.0,1950,Pave,Norm,Norm,,TA,2,3.0,151000,
516,,10448,Pave,Norm,Norm,1972.0,TA,2,3.0,158000,
757,,11616,,Norm,Norm,1978.0,TA,2,3.0,158900,
162,95.0,12182,Pave,Norm,Norm,2005.0,Gd,2,3.0,220000,
599,24.0,1950,Pave,Norm,Norm,,TA,2,3.0,151000,
1063,50.0,6000,Pave,Artery,Norm,1925.0,TA,1,2.0,110500,
1099,82.0,11880,Pave,RRAn,Norm,1978.0,TA,2,3.0,157000,
1200,71.0,9353,Pave,Norm,Norm,1970.0,TA,1,3.0,116050,
484,,7758,Pave,Norm,Norm,1962.0,TA,1,3.0,132500,
527,67.0,14948,Pave,Norm,Norm,2008.0,Ex,2,3.0,446261,
768,70.0,9100,Pave,Norm,Norm,2004.0,Gd,2,3.0,216837,
171,141.0,31770,Pave,Norm,Norm,1960.0,TA,1,3.0,215000,
488,60.0,10800,Pave,Norm,Norm,1900.0,TA,2,3.0,160000,
393,,7446,Pave,Feedr,Norm,1941.0,TA,1,2.0,100000,
588,65.0,25095,Pave,Norm,Norm,1968.0,TA,1,1.0,143000,
1020,60.0,7024,Pave,Norm,Norm,2005.0,TA,1,2.0,176000,
767,75.0,12508,Pave,Norm,Norm,1940.0,TA,2,4.0,160000,
13,91.0,10652,Pave,Norm,Norm,2006.0,Gd,2,3.0,279500,
1334,24.0,2368,Pave,Norm,Norm,1970.0,TA,1,3.0,125000,
249,,159000,Pave,Norm,Norm,1958.0,Gd,2,4.0,277000,
2,68.0,11250,Pave,Norm,Norm,2001.0,Gd,2,3.0,223500,
21,57.0,7449,Pave,Norm,Norm,1930.0,TA,1,3.0,139400,
1249,60.0,7200,Pave,Norm,Norm,1950.0,TA,1,3.0,119000,
1323,50.0,5330,Pave,Norm,Norm,1940.0,Fa,1,2.0,82500,
130,88.0,14200,Pave,Norm,Norm,1966.0,TA,2,4.0,226000,
1027,71.0,9520,Pave,Norm,Norm,2007.0,Gd,2,3.0,293077,
352,60.0,9084,Pave,Artery,Norm,1941.0,TA,1,3.0,95000,
1378,21.0,1953,Pave,Norm,Norm,1973.0,TA,1,2.0,83000,
399,65.0,8125,Pave,Norm,Norm,2006.0,Gd,2,2.0,241000,
1045,,13680,Pave,Norm,Norm,1955.0,TA,2,4.0,139600,
118,90.0,12376,Pave,Norm,Norm,1990.0,TA,3,5.0,320000,
1078,37.0,4435,Pave,Norm,Norm,2004.0,Gd,1,1.0,155900,
1414,64.0,13053,Pave,Norm,Norm,1923.0,TA,1,4.0,207000,
1423,,19690,Pave,Norm,Norm,1966.0,Gd,2,4.0,274970,
514,55.0,10594,Pave,Norm,Norm,1926.0,TA,1,2.0,96500,
1402,64.0,6762,Pave,Norm,Norm,2006.0,Gd,2,2.0,193879,
1305,108.0,13173,Pave,Norm,Norm,2006.0,Gd,2,2.0,325000,
118,90.0,12376,Pave,Norm,Norm,1990.0,TA,3,5.0,320000,
610,,11050,Pave,PosN,Norm,2000.0,Gd,2,3.0,313000,
1077,,15870,Pave,Norm,Norm,1969.0,TA,1,3.0,138800,
524,95.0,11787,Pave,Norm,Norm,1996.0,Gd,2,3.0,315750,
955,82.0,7136,Pave,Norm,Norm,1946.0,TA,2,4.0,145000,
540,85.0,14601,Pave,Norm,Norm,2006.0,Ex,2,2.0,315000,
606,82.0,12464,Pave,Norm,Norm,1996.0,TA,1,3.0,152000,
662,120.0,13560,Pave,Norm,Norm,1968.0,TA,1,2.0,110000,
1328,60.0,10440,Pave,Norm,Norm,1920.0,Gd,2,5.0,256000,
1057,,29959,Pave,Norm,Norm,1994.0,Gd,2,3.0,248000,
987,83.0,10159,Pave,Norm,Norm,2009.0,Ex,2,3.0,395192,
416,74.0,7844,Pave,Norm,Norm,1978.0,TA,1,3.0,149500,
193,24.0,2522,Pave,Norm,Norm,2004.0,Gd,2,3.0,130000,
1030,,7082,Pave,Norm,Norm,1916.0,TA,2,5.0,160000,
473,110.0,14977,Pave,Norm,Norm,2006.0,Gd,2,2.0,440000,
1374,85.0,10625,Pave,Norm,Norm,2005.0,Gd,2,3.0,250000,
45,61.0,7658,Pave,Norm,Norm,2005.0,Ex,2,2.0,319900,
1318,,14781,Pave,Norm,Norm,2001.0,Gd,2,3.0,275000,
1242,85.0,10625,Pave,Norm,Norm,1974.0,TA,2,,170000,
313,150.0,215245,Pave,Norm,Norm,1965.0,TA,2,3.0,375000,
855,,6897,Pave,Norm,Norm,1962.0,TA,1,3.0,127000,
19,70.0,7560,Pave,Norm,Norm,1958.0,TA,1,3.0,139000,
1375,89.0,10991,Pave,Norm,Norm,2007.0,Gd,2,3.0,239000,
567,70.0,10171,Pave,Norm,Norm,2004.0,Gd,2,3.0,214000,
1369,48.0,10635,,Norm,Norm,2003.0,Gd,2,3.0,232000,
483,32.0,4500,Pave,Norm,Norm,1998.0,TA,2,2.0,164000,
106,60.0,10800,Pave,Norm,Norm,1885.0,TA,1,2.0,100000,
1396,,57200,Pave,Norm,Norm,1948.0,TA,1,3.0,160000,
1369,48.0,10635,,Norm,Norm,2003.0,Gd,2,3.0,232000,
700,85.0,14331,Pave,Norm,Norm,2002.0,Gd,2,3.0,312500,
18,66.0,13695,Pave,RRAe,Norm,2004.0,TA,1,3.0,159000,
1370,90.0,5400,Pave,Artery,Norm,1920.0,Fa,1,2.0,105000,
882,,9636,Pave,Norm,Norm,1992.0,TA,2,3.0,178000,
1016,73.0,11883,Pave,Norm,Norm,1996.0,Gd,2,3.0,203000,
1263,60.0,13515,Pave,Norm,Norm,1919.0,TA,1,3.0,180500,
656,72.0,10007,Pave,Norm,Norm,1959.0,Gd,1,3.0,145500,
1307,60.0,8072,Pave,Norm,Norm,1994.0,TA,1,3.0,138000,
5,85.0,14115,Pave,Norm,Norm,1993.0,TA,1,1.0,143000,
1400,50.0,6000,Pave,Norm,Norm,1929.0,TA,1,3.0,120000,
783,,9101,Pave,Norm,Norm,1978.0,TA,1,1.0,165500,
789,,12205,Pave,Norm,Norm,1966.0,TA,2,5.0,187500,
399,65.0,8125,Pave,Norm,Norm,2006.0,Gd,2,2.0,241000,
270,84.0,10728,Pave,Norm,Norm,2006.0,Gd,2,3.0,266000,
200,80.0,8546,Pave,Norm,Norm,2003.0,TA,2,2.0,140000,
565,66.0,6858,Pave,Norm,Norm,1915.0,TA,1,4.0,128000,
