User_ID|Gender|Age|Occupation|City_Category|Stay_In_Current_City_Years|Marital_Status
1000001|F|0-17|10|A|2|0
1000002|M|55+|16|C|4+|0
1000003|M|26-35|15|A|3|0
1000004|M|46-50|7|B|2|1
1000005|M|26-35|20|A|1|1
1000006|F|51-55|9|A|1|0
1000007|M|36-45|1|B|1|1
1000008|M|26-35|12|C|4+|1
1000009|M|26-35|17|C|0|0
1000010|F|36-45|1|B|4+|1
1000011|F|26-35|1|C|1|0
1000012|M|26-35|12|C|2|0
1000013|M|46-50|1|C|3|1
1000014|M|36-45|0|C|0|0
1000015|M|26-35|7|A|1|0
1000016|F|36-45|0|C|0|1
1000017|M|51-55|1|C|0|0
1000018|F|18-25|3|B|3|0
1000019|M|0-17|10|A|3|0
1000021|M|18-25|16|B|0|0
1000022|M|18-25|15|A|4+|0
1000023|M|36-45|0|B|3|1
1000024|F|26-35|7|A|3|1
1000025|M|18-25|4|C|4+|0
1000026|M|26-35|7|B|2|1
1000027|M|26-35|11|C|1|1
1000028|F|26-35|1|C|2|1
1000029|M|36-45|7|C|1|0
1000030|F|36-45|7|C|3|0
1000031|M|55+|7|C|2|0
1000032|F|26-35|0|C|3|1
1000033|M|46-50|3|A|1|1
1000034|F|18-25|0|A|0|0
1000035|M|46-50|1|C|4+|1
1000036|M|26-35|3|B|0|0
1000037|F|26-35|9|C|1|0
1000039|M|18-25|4|B|2|0
1000041|F|18-25|4|C|3|0
1000042|M|26-35|8|C|0|1
1000043|M|26-35|12|A|0|0
1000044|M|46-50|17|B|3|1
1000045|F|46-50|16|A|1|1
1000046|M|18-25|19|C|4+|0
1000047|M|18-25|4|C|4+|1
1000048|M|26-35|4|B|3|1
1000049|M|18-25|12|C|4+|1
1000050|F|26-35|2|A|1|1
1000051|F|0-17|10|C|2|0
1000052|M|18-25|4|C|0|0
1000053|M|26-35|0|B|1|0
1000054|M|51-55|1|C|4+|1
1000056|M|36-45|20|C|0|1
1000057|M|18-25|19|C|2|0
1000058|M|26-35|2|B|3|0
1000059|F|51-55|1|B|4+|1
1000060|M|51-55|1|C|1|1
1000061|M|26-35|17|C|1|0
