nome_munic,codigo_ibge,nome_drs,cod_drs,pop,pop_60,ano_mes,casos_novos,obitos_novos
Adamantina,3500105,Marília,5.0,33894.0,7398.0,2020-02,0,0
Adamantina,3500105,Marília,5.0,33894.0,7398.0,2020-03,0,0
Adamantina,3500105,Marília,5.0,33894.0,7398.0,2020-04,5,0
Adamantina,3500105,Marília,5.0,33894.0,7398.0,2020-05,34,2
Adamantina,3500105,Marília,5.0,33894.0,7398.0,2020-06,3,1
Adolfo,3500204,São José do Rio Preto,15.0,3447.0,761.0,2020-02,0,0
Adolfo,3500204,São José do Rio Preto,15.0,3447.0,761.0,2020-03,0,0
Adolfo,3500204,São José do Rio Preto,15.0,3447.0,761.0,2020-04,1,0
Adolfo,3500204,São José do Rio Preto,15.0,3447.0,761.0,2020-05,2,0
Adolfo,3500204,São José do Rio Preto,15.0,3447.0,761.0,2020-06,0,0
Aguaí,3500303,São João da Boa Vista,14.0,35608.0,5245.0,2020-02,0,0
Aguaí,3500303,São João da Boa Vista,14.0,35608.0,5245.0,2020-03,0,0
Aguaí,3500303,São João da Boa Vista,14.0,35608.0,5245.0,2020-04,14,2
Aguaí,3500303,São João da Boa Vista,14.0,35608.0,5245.0,2020-05,16,1
Aguaí,3500303,São João da Boa Vista,14.0,35608.0,5245.0,2020-06,10,1
Agudos,3500709,Bauru,12.0,36134.0,5524.0,2020-02,0,0
Agudos,3500709,Bauru,12.0,36134.0,5524.0,2020-03,0,0
Agudos,3500709,Bauru,12.0,36134.0,5524.0,2020-04,15,1
Agudos,3500709,Bauru,12.0,36134.0,5524.0,2020-05,8,0
Agudos,3500709,Bauru,12.0,36134.0,5524.0,2020-06,9,0
Alambari,3500758,Sorocaba,6.0,5779.0,830.0,2020-02,0,0
Alambari,3500758,Sorocaba,6.0,5779.0,830.0,2020-03,0,0
Alambari,3500758,Sorocaba,6.0,5779.0,830.0,2020-04,1,0
Alambari,3500758,Sorocaba,6.0,5779.0,830.0,2020-05,3,0
Alambari,3500758,Sorocaba,6.0,5779.0,830.0,2020-06,1,0
Alfredo Marcondes,3500808,Presidente Prudente,2.0,3927.0,907.0,2020-02,0,0
Alfredo Marcondes,3500808,Presidente Prudente,2.0,3927.0,907.0,2020-03,0,0
Alfredo Marcondes,3500808,Presidente Prudente,2.0,3927.0,907.0,2020-04,0,0
Alfredo Marcondes,3500808,Presidente Prudente,2.0,3927.0,907.0,2020-05,2,1
Alfredo Marcondes,3500808,Presidente Prudente,2.0,3927.0,907.0,2020-06,1,0
Altair,3500907,Barretos,16.0,4036.0,552.0,2020-02,0,0
Altair,3500907,Barretos,16.0,4036.0,552.0,2020-03,0,0
Altair,3500907,Barretos,16.0,4036.0,552.0,2020-04,0,0
Altair,3500907,Barretos,16.0,4036.0,552.0,2020-05,1,0
Altair,3500907,Barretos,16.0,4036.0,552.0,2020-06,0,0
Altinópolis,3501004,Ribeirão Preto,1.0,15553.0,2980.0,2020-02,0,0
Altinópolis,3501004,Ribeirão Preto,1.0,15553.0,2980.0,2020-03,0,0
Altinópolis,3501004,Ribeirão Preto,1.0,15553.0,2980.0,2020-04,0,0
Altinópolis,3501004,Ribeirão Preto,1.0,15553.0,2980.0,2020-05,4,0
Altinópolis,3501004,Ribeirão Preto,1.0,15553.0,2980.0,2020-06,1,0
Alto Alegre,3501103,Araçatuba,7.0,4017.0,964.0,2020-02,0,0
Alto Alegre,3501103,Araçatuba,7.0,4017.0,964.0,2020-03,0,0
Alto Alegre,3501103,Araçatuba,7.0,4017.0,964.0,2020-04,0,0
Alto Alegre,3501103,Araçatuba,7.0,4017.0,964.0,2020-05,1,1
Alto Alegre,3501103,Araçatuba,7.0,4017.0,964.0,2020-06,0,0
Alumínio,3501152,Sorocaba,6.0,17972.0,2230.0,2020-02,0,0
