Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,1102.0,Sales,1.0,2,Life Sciences,1,2,Female,94,3,2,Sales Executive,4,Single,8,11,3,1,8,0,1.0,6,4,0,5
49,No,Travel_Frequently,279.0,Research & Development,8.0,1,Life Sciences,2,3,Male,61,2,2,Research Scientist,2,Married,1,23,4,4,10,3,3.0,10,7,1,7
37,Yes,Travel_Rarely,1373.0,Research & Development,2.0,2,Other,4,4,Male,92,2,1,Laboratory Technician,3,Single,6,15,3,2,7,3,3.0,0,0,0,0
33,No,Travel_Frequently,1392.0,Research & Development,,4,Life Sciences,5,4,Female,56,3,1,Research Scientist,3,Married,1,11,3,3,8,3,3.0,8,7,3,0
27,No,Travel_Rarely,591.0,Research & Development,2.0,1,Medical,7,1,Male,40,3,1,Laboratory Technician,2,Married,9,12,3,4,6,3,3.0,2,2,2,2
32,No,Travel_Frequently,1005.0,Research & Development,,2,Life Sciences,8,4,Male,79,3,1,Laboratory Technician,4,Single,0,13,3,3,8,2,2.0,7,7,3,6
59,No,Travel_Rarely,1324.0,Research & Development,3.0,3,Medical,10,3,Female,81,4,1,Laboratory Technician,1,Married,4,20,4,1,12,3,2.0,1,0,0,0
30,No,Travel_Rarely,1358.0,Research & Development,24.0,1,Life Sciences,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,1,22,4,2,1,2,3.0,1,0,0,0
38,No,Travel_Frequently,216.0,Research & Development,23.0,3,Life Sciences,12,4,Male,44,2,3,Manufacturing Director,3,Single,0,21,4,2,10,2,3.0,9,7,1,8
36,No,Travel_Rarely,1299.0,Research & Development,,3,Medical,13,3,Male,94,3,2,Healthcare Representative,3,Married,6,13,3,2,17,3,2.0,7,7,7,7
